gpu|score|rank
GeForce 9400 GT|196|817
GeForce 9400M|121|897
GeForce 9400M G|129|886
GeForce 940M|904|319
GeForce 945M|1354|206
GeForce 9500 GS|290|735
GeForce 9500 GT|288|738
GeForce 9500M|107|923
GeForce 9500M G|166|846
GeForce 9500M GS|198|813
GeForce 9600 GS|450|640
GeForce 9600 GSO|524|590
GeForce 9600 GSO 512|507|607
GeForce 9600 GT|750|403
GeForce 9600M GS|249|769
GeForce 9600M GT|272|748
GeForce 9600M GT / GeForce GT 220M|289|736
GeForce 9650M GT|266|754
GeForce 9700M GT|338|702
GeForce 9700M GTS|483|618
GeForce 9800 GT|726|423
GeForce 9800 GTX|769|389
GeForce 9800 GTX+|923|313
GeForce 9800 GTX/9800 GTX+|900|322
GeForce 9800 GX2|820|356
GeForce 9800 S|645|493
GeForce 9800M GS|548|571
GeForce 9800M GT|472|627
GeForce 9800M GTS|653|477
GeForce 9800M GTX|522|593
GeForce FX 5200|7|1208
GeForce FX 5200LE|7|1203
GeForce FX 5500|8|1199
GeForce FX 5600|11|1198
GeForce FX 5600 Ultra|17|1184
GeForce FX 5600XT|8|1200
GeForce FX 5700|44|1090
GeForce FX 5700 Ultra|30|1139
GeForce FX 5700LE|25|1158
GeForce FX 5700VE|29|1142
GeForce FX 5900|36|1117
GeForce FX 5900 Ultra|41|1101
GeForce FX 5900XT|43|1094
GeForce FX 5950 Ultra|59|1047
GeForce FX Go 5200|8|1201
GeForce FX Go 5600|17|1182
GeForce FX Go5300|12|1195
GeForce FX Go5650|16|1185
GeForce FX Go5700|47|1077
GeForce G 103M|108|921
GeForce G 105M|117|902
GeForce G100|101|945
GeForce G102M|101|944
GeForce G105M|190|827
GeForce G200|133|883
GeForce G205M|103|934
GeForce G210|180|836
GeForce G210M|206|805
GeForce Go 6100|18|1180
GeForce Go 6150|18|1179
GeForce Go 6200|13|1189
GeForce Go 6400|26|1151
GeForce Go 6600|66|1025
GeForce Go 6600 TE/6200 TE|44|1092
GeForce Go 6800|108|920
GeForce Go 6800 Ultra|146|864
GeForce Go 7200|44|1089
GeForce Go 7300|49|1071
GeForce Go 7400|63|1035
GeForce Go 7600|129|888
GeForce Go 7600 GT|165|848
GeForce Go 7700|147|863
GeForce Go 7800|116|904
GeForce Go 7800 GTX|208|803
GeForce Go 7900 GS|175|841
GeForce Go 7950 GTX|264|756
GeForce GPU|1066|258
GeForce GT 120|306|727
GeForce GT 120M|280|742
GeForce GT 130|467|632
GeForce GT 130M|306|726
GeForce GT 140|766|393
GeForce GT 220|360|690
GeForce GT 220M|273|747
GeForce GT 230|477|622
GeForce GT 230M|339|701
GeForce GT 240|653|478
GeForce GT 240M|358|691
GeForce GT 320|552|566
GeForce GT 320M|215|794
GeForce GT 325M|307|725
GeForce GT 330|557|562
GeForce GT 330M|370|684
GeForce GT 335M|499|610
GeForce GT 340|810|364
GeForce GT 415M|319|718
GeForce GT 420|447|643
GeForce GT 420M|550|568
GeForce GT 425M|614|512
GeForce GT 430|654|475
GeForce GT 435M|676|458
GeForce GT 440|828|350
GeForce GT 445M|1049|266
GeForce GT 520|367|686
GeForce GT 520M|384|675
GeForce GT 520MX|408|663
GeForce GT 525M|608|523
GeForce GT 530|736|415
GeForce GT 540M|662|465
GeForce GT 545|1281|221
GeForce GT 550M|736|414
GeForce GT 555M|899|323
GeForce GT 610|358|692
GeForce GT 620|434|647
GeForce GT 620M|555|563
GeForce GT 625|435|646
GeForce GT 625M|514|602
GeForce GT 630|796|370
GeForce GT 630M|682|451
GeForce GT 635|938|303
GeForce GT 635M|683|450
GeForce GT 640|1290|218
GeForce GT 640M|914|317
GeForce GT 640M LE|790|378
GeForce GT 645|2498|118
GeForce GT 645M|881|329
GeForce GT 650M|1203|233
GeForce GT 705|413|659
GeForce GT 710|660|470
GeForce GT 710M|522|592
GeForce GT 720|748|405
GeForce GT 720A|631|501
GeForce GT 720M|526|588
GeForce GT 730|922|314
GeForce GT 730A|717|431
GeForce GT 730M|804|365
GeForce GT 735M|639|495
GeForce GT 740|1574|176
GeForce GT 740M|768|392
GeForce GT 745A|1146|241
GeForce GT 745M|969|292
GeForce GT 750M|1310|212
GeForce GT 755M|1566|178
GeForce GT625M|518|596
GeForce GTS 160M|665|462
GeForce GTS 240|851|339
GeForce GTS 250|899|324
GeForce GTS 250M|570|550
GeForce GTS 350M|559|559
GeForce GTS 360M|760|398
GeForce GTS 450|1546|182
GeForce GTX 260|1118|249
GeForce GTX 260M|599|531
GeForce GTX 275|1218|231
GeForce GTX 280|1195|235
GeForce GTX 280M|684|447
GeForce GTX 285|1260|223
GeForce GTX 285M|752|402
GeForce GTX 295|1035|269
GeForce GTX 460|2642|110
GeForce GTX 460 SE|2235|125
GeForce GTX 460 v2|2555|115
GeForce GTX 460M|1383|200
GeForce GTX 465|2942|93
GeForce GTX 470|3582|72
GeForce GTX 470M|1949|142
GeForce GTX 480|4339|53
GeForce GTX 480M|2018|139
GeForce GTX 485M|2380|119
GeForce GTX 550 Ti|1923|144
GeForce GTX 555|2162|130
GeForce GTX 560|3111|86
GeForce GTX 560 SE|2232|126
GeForce GTX 560 Ti|3539|73
GeForce GTX 560M|1552|180
GeForce GTX 570|4394|50
GeForce GTX 570M|1999|140
GeForce GTX 580|4985|42
GeForce GTX 580M|2309|121
GeForce GTX 590|4036|64
GeForce GTX 645|1922|145
GeForce GTX 650|1831|154
GeForce GTX 650 Ti|2673|108
GeForce GTX 650 Ti BOOST|3532|74
GeForce GTX 660|4121|61
GeForce GTX 660 Ti|4703|46
