gpu|score|rank
Radeon HD 6490M|367|687
Radeon HD 6520G|488|616
Radeon HD 6530D|517|597
Radeon HD 6550A|705|438
Radeon HD 6550D|657|472
Radeon HD 6570|759|399
Radeon HD 6610M|542|576
Radeon HD 6620G|563|554
Radeon HD 6630M|684|448
Radeon HD 6650M|695|444
Radeon HD 6670|1050|265
Radeon HD 6670 + 6670 Dual|646|491
Radeon HD 6700M|977|290
Radeon HD 6750|1298|216
Radeon HD 6750M|936|306
Radeon HD 6770|1659|168
Radeon HD 6770M|992|284
Radeon HD 6790|2033|137
Radeon HD 6800M|980|288
Radeon HD 6850|2240|124
Radeon HD 6870|2578|113
Radeon HD 6900M|1911|147
Radeon HD 6950|3177|83
Radeon HD 6970|3472|75
Radeon HD 6990|2817|100
Radeon HD 7290|139|871
Radeon HD 7310|171|844
Radeon HD 7310G|180|835
Radeon HD 7310M|165|847
Radeon HD 7340|209|802
Radeon HD 7340G|194|819
Radeon HD 7340M|219|788
Radeon HD 7350|282|740
Radeon HD 7400G|328|712
Radeon HD 7420G|452|637
Radeon HD 7450|321|716
Radeon HD 7450A|288|737
Radeon HD 7450M|332|710
Radeon HD 7470|374|679
Radeon HD 7470M|413|658
Radeon HD 7480D|420|655
Radeon HD 7500G|408|662
Radeon HD 7500G + 7500M/7600M Dual|647|487
Radeon HD 7500G + 7550M Dual|497|611
Radeon HD 7520G|451|638
Radeon HD 7520G + 7400M Dual|486|617
Radeon HD 7520G + 7600M Dual|591|537
Radeon HD 7520G + 7610M Dual|464|634
Radeon HD 7520G + 7650M Dual|453|635
Radeon HD 7520G + 7670M Dual|534|584
Radeon HD 7520G + 7700M Dual|1060|261
Radeon HD 7520G + 8600/8700M Dual|311|723
Radeon HD 7520G + HD 7400M Dual|576|549
Radeon HD 7520G + HD 7600M Dual|660|469
Radeon HD 7520G + HD 8750M Dual|651|481
Radeon HD 7540D|520|595
Radeon HD 7540D + 6570 Dual|719|429
Radeon HD 7550M|492|615
Radeon HD 7550M/7650M|728|421
Radeon HD 7560D|666|460
Radeon HD 7560D + 6570 Dual|833|349
Radeon HD 7560D + 6670 Dual|1130|245
Radeon HD 7560D + 7560D Dual|982|287
Radeon HD 7560D + 7670 Dual|1412|194
Radeon HD 7560D + HD 7000 Dual|534|585
Radeon HD 7560D + HD 7700 Dual|1469|189
Radeon HD 7560D + R5 235 Dual|904|320
Radeon HD 7570|980|289
Radeon HD 7570M|604|526
Radeon HD 7570M/HD 7670M|722|427
Radeon HD 7580D|350|695
Radeon HD 7600G|476|623
Radeon HD 7600G + 7450M Dual|389|672
Radeon HD 7600G + 7500M/7600M Dual|421|654
Radeon HD 7600G + 7550M Dual|423|652
Radeon HD 7600G + 8500M/8700M Dual|469|630
Radeon HD 7600G + HD 7500M/7600M Dual|540|579
Radeon HD 7600G + HD Dual|432|648
Radeon HD 7600M + 7600M Dual|823|355
Radeon HD 7610M|631|500
Radeon HD 7620G|492|614
Radeon HD 7620G + 8600M Dual|514|600
Radeon HD 7620G + 8670M Dual|577|546
Radeon HD 7620G + HD 8600M Dual|450|641
Radeon HD 7620G + HD 8670M Dual|505|608
Radeon HD 7640G|606|525
Radeon HD 7640G + 6400M Dual|526|589
Radeon HD 7640G + 7400M Dual|637|497
Radeon HD 7640G + 7470M Dual|597|532
Radeon HD 7640G + 7500/7600 Dual|627|503
Radeon HD 7640G + 7600M Dual|706|436
Radeon HD 7640G + 7610M Dual|563|555
Radeon HD 7640G + 7670M Dual|652|480
Radeon HD 7640G + 7700M Dual|690|445
Radeon HD 7640G + 8500M Dual|588|540
Radeon HD 7640G + 8570M Dual|565|553
Radeon HD 7640G + 8600/8700M Dual|688|446
Radeon HD 7640G + 8670M Dual|558|561
Radeon HD 7640G + 8750M Dual|654|476
Radeon HD 7640G + HD 7400M Dual|612|516
Radeon HD 7640G + HD 7600M Dual|681|452
Radeon HD 7640G + HD 7670M Dual|699|441
Radeon HD 7640G + HD 8500M Dual|607|524
Radeon HD 7640G + HD 8500M N HD 8500M Dual|665|463
Radeon HD 7640G + HD 8600/8700M Dual|514|601
Radeon HD 7640G + HD 8750M Dual|1240|228
Radeon HD 7640G + R5 M200 Dual|508|606
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D|824|354
Radeon HD 7640G N HD 7640G + HD 7670M Dual|679|455
Radeon HD 7650A|791|377
Radeon HD 7650M|725|424
Radeon HD 7660D|795|373
Radeon HD 7660D + 6570 Dual|1100|251
Radeon HD 7660D + 6670 Dual|1243|226
Radeon HD 7660D + 7470 Dual|465|633
Radeon HD 7660D + 7670 Dual|1061|260
Radeon HD 7660D + HD 6670 Dual|1545|183
Radeon HD 7660D + HD 7700 Dual|1878|149
Radeon HD 7660G|820|358
Radeon HD 7660G + 7400M Dual|588|538
Radeon HD 7660G + 7470M Dual|579|544
Radeon HD 7660G + 7600M Dual|825|353
Radeon HD 7660G + 7610M Dual|742|408
Radeon HD 7660G + 7670M Dual|739|410
Radeon HD 7660G + 7700M Dual|757|400
Radeon HD 7660G + 7730M Dual|931|309
Radeon HD 7660G + 8600M Dual|445|644
Radeon HD 7660G + 8670M Dual|645|492
Radeon HD 7660G + HD 7600M Dual|813|363
Radeon HD 7660G + HD 7670M Dual|683|449
Radeon HD 7660G + HD 7700M Dual|802|366
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D|722|428
Radeon HD 7660G N HD 7660G + HD 7670M Dual|704|439
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D|966|294
Radeon HD 7670|1081|254
Radeon HD 7670A|1051|264
Radeon HD 7670M|819|359
Radeon HD 7670M + 7670M Dual|738|412
Radeon HD 7690M|995|283
Radeon HD 7690M XT|1009|278
Radeon HD 7730|1359|205
Radeon HD 7730M|1022|273
Radeon HD 7750|1652|170
Radeon HD 7750M|1144|242
Radeon HD 7770|2163|129
Radeon HD 7790|2992|89
Radeon HD 7850|3762|68
Radeon HD 7850M|1372|203
Radeon HD 7870|4286|55
Radeon HD 7870 XT|4382|51
Radeon HD 7870M|1482|187
Radeon HD 7950 / R9 280|4753|45
Radeon HD 7970 / R9 280X|5237|35
Radeon HD 7970M|3711|69
Radeon HD 7990|5400|30
Radeon HD 8180|198|814
Radeon HD 8210|254|765
Radeon HD 8240|282|741
Radeon HD 8250|261|758
Radeon HD 8280|325|714
Radeon HD 8280E|328|713
Radeon HD 8280G|269|750
Radeon HD 8330|348|697
Radeon HD 8330E|337|705
Radeon HD 8350|259|761
Radeon HD 8350G|401|667
Radeon HD 8370D|430|650
Radeon HD 8400|367|685
Radeon HD 8400E|340|700
Radeon HD 8410G|451|639
Radeon HD 8450G|414|657
Radeon HD 8450G + 8600M Dual|545|573
Radeon HD 8450G + 8670M Dual|474|625
Radeon HD 8450G + 8750M Dual|637|498
Radeon HD 8470|349|696
Radeon HD 8470D|515|599
Radeon HD 8470D + 6450 Dual|717|430
Radeon HD 8490|382|676
Radeon HD 8500M|509|605
Radeon HD 8500M/8700M|958|299
Radeon HD 8510G|512|603
Radeon HD 8510G + 8500M Dual|596|533
Radeon HD 8550D|614|511
Radeon HD 8550G|705|437
Radeon HD 8550G + 8500M Dual|602|528
Radeon HD 8550G + 8570M Dual|535|583
Radeon HD 8550G + 8600/8700M Dual|802|367
Radeon HD 8550G + 8600M Dual|610|519
Radeon HD 8550G + 8670M Dual|548|570
Radeon HD 8550G + 8690M Dual|664|464
Radeon HD 8550G + 8750M Dual|800|368
Radeon HD 8550G + HD 8600/8700M Dual|842|344
Radeon HD 8550G + HD 8600M Dual|659|471
Radeon HD 8550G + HD 8750M Dual|871|333
Radeon HD 8550G + R5 M200 Dual|596|534
Radeon HD 8550G + R5 M230 Dual|583|543
Radeon HD 8570|938|304
Radeon HD 8570 + 8670D Dual|620|508
Radeon HD 8570D|675|459
Radeon HD 8570D + 6570 Dual|1239|229
Radeon HD 8570D + HD 6570 Dual|868|334
Radeon HD 8570D + HD 6670 Dual|1260|224
Radeon HD 8570D + HD 7700 Dual|1834|153
Radeon HD 8570D + R7 200 Dual|1000|281
Radeon HD 8570D + R7 240 Dual|906|318
Radeon HD 8570M|531|586
Radeon HD 8600/8700M|1039|267
Radeon HD 8610G|554|564
Radeon HD 8610G + 8500M Dual|610|518
Radeon HD 8610G + 8600M Dual|588|539
Radeon HD 8610G + 8670M Dual|599|530
Radeon HD 8610G + HD 8500M Dual|629|502
Radeon HD 8610G + HD 8600M Dual|570|551
Radeon HD 8610G + HD 8670M Dual|559|560
Radeon HD 8650D|584|542
Radeon HD 8650G|935|308
Radeon HD 8650G + 7600M Dual|741|409
Radeon HD 8650G + 7670M Dual|778|382
Radeon HD 8650G + 8500M Dual|626|504
Radeon HD 8650G + 8570M Dual|652|479
Radeon HD 8650G + 8600/8700M Dual|845|342
Radeon HD 8650G + 8600M Dual|613|513
Radeon HD 8650G + 8670M Dual|647|486
Radeon HD 8650G + 8750M Dual|788|379
Radeon HD 8650G + HD 8570M Dual|679|454
Radeon HD 8650G + HD 8600/8700M Dual|749|404
Radeon HD 8650G + HD 8600M Dual|624|506
Radeon HD 8650G + HD 8670M Dual|610|521
Radeon HD 8650G + HD 8750M Dual|777|383
Radeon HD 8650G + R5 M230 Dual|695|443
Radeon HD 8650G N HD 8650G + HD 8570M Dual|773|387
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D|679|456
Radeon HD 8670D|820|357
Radeon HD 8670D + 6670 Dual|1361|204
Radeon HD 8670D + 7700 Dual|1788|158
Radeon HD 8670D + HD 6670 Dual|1221|230
Radeon HD 8670D + R5 235 Dual|879|331
Radeon HD 8670D + R7 200 Dual|936|307
Radeon HD 8670D + R7 240 Dual|1027|272
Radeon HD 8670M|515|598
Radeon HD 8690A|919|315
Radeon HD 8690M|836|346
Radeon HD 8730M|792|376
Radeon HD 8750M|937|305
Radeon HD 8790M|1305|214
Radeon HD 8790M / R9 M290X|1323|209
Radeon HD 8850M|1133|244
Radeon HD 8870M|1704|163
Radeon HD 8870M / R9 M270X / M370X|1790|157
Radeon HD 8950|2862|96
Radeon HD 8970M|3881|66
Radeon HD 8990|5041|41
RADEON HD6370D|331|711
RADEON HD6410D|422|653
RADEON HD6530D|531|587
Radeon HD7570|1028|271
Radeon HD8490|379|677
Radeon HD8970M|2951|91
Radeon IGP 320M|3|1294
Radeon IGP 340M|2|1295
RADEON IGP 345M|3|1274
RADEON IGP 350M|6|1214
Radeon R2|295|733
Radeon R2E|223|783
Radeon R3|373|680
Radeon R3E|271|749
Radeon R4|406|664
Radeon R5 220|259|762
Radeon R5 235|362|689
Radeon R5 235 + HD 7560D Dual|743|407
Radeon R5 235X|373|681
Radeon R5 240|648|485
Radeon R5 310|345|698
Radeon R5 M230|448|642
Radeon R5 M240|521|594
Radeon R5 M255|727|422
Radeon R5 M330|551|567
Radeon R5 M335|600|529
Radeon R5E|337|707
Radeon R6|655|474
Radeon R6 + R7 M265DX Dual|570|552
Radeon R7 + HD 7700 Dual|2081|134
Radeon R7 + R7 200 Dual|1301|215
Radeon R7 + R7 240 Dual|1077|256
Radeon R7 240|963|298
Radeon R7 240 + HD 8570D Dual|917|316
Radeon R7 240 + HD 8670D Dual|930|310
Radeon R7 250|1404|197
Radeon R7 260|2862|97
Radeon R7 260X|3063|87
Radeon R7 360|3164|84
Radeon R7 A10 PRO-7800B|796|372
Radeon R7 A10 PRO-7850B|857|337
Radeon R7 A10-7700K|890|327
Radeon R7 A10-7800|897|325
Radeon R7 A10-7850K|1012|277
Radeon R7 A10-7870K Radeon R7, 12 Compute Cores 4C|1154|240
Radeon R7 A10-8750 Radeon R7, 12 Compute Cores 4C+|929|311
Radeon R7 A8 PRO-7600B|735|417
Radeon R7 A8-7600|928|312
Radeon R7 A8-7650K|881|328
Radeon R7 A8-7650K Radeon R7, 10 Compute Cores 4C+|800|369
Radeon R7 A8-7670K|1008|280
Radeon R7 A8-8650 Radeon R7, 10 Compute Cores 4C+6|891|326
Radeon R7 M260|695|442
Radeon R7 M260X|1016|274
Radeon R7 M265|815|361
Radeon R7 M270|769|390
Radeon R7 M360|651|482
Radeon R7 PRO A10-8750B R7, 12 Compute Cores 4C+8G|966|295
Radeon R9 255|1806|155
Radeon R9 270 / R7 370|4223|57
Radeon R9 270X|4570|47
Radeon R9 285 / 380|5525|28
Radeon R9 290 / 390|6861|18
Radeon R9 290X / 390X|7107|16
Radeon R9 295X2|7107|17
Radeon R9 360|3032|88
Radeon R9 380X|5902|25
Radeon R9 Fury|7293|15
Radeon R9 Fury X|8203|10
Radeon R9 M265X|1203|234
Radeon R9 M270X|1312|211
Radeon R9 M275|1130|246
Radeon R9 M275X / M375|1381|201
Radeon R9 M290X|2547|116
Radeon R9 M295X|5046|40
Radeon R9 M370X|1985|141
Radeon R9 M375|999|282
Radeon R9 M380|2905|94
Radeon R9 M395X|5399|31
Radeon X1050|50|1067
Radeon X1200|32|1133
Radeon X1250|35|1121
Radeon X1270|30|1136
Radeon X1300|55|1056
Radeon X1300 PRO|87|981
Radeon X1550|63|1034
Radeon X1550 64-bit|44|1088
Radeon X1600|44|1087
Radeon X1600 Pro|95|959
Radeon X1600 XT|106|927
Radeon X1650 GTO|74|1011
Radeon X1650 Pro|88|978
Radeon X1650 SE|71|1014
Radeon X1700 Targa Edition|116|906
Radeon X1800 GTO|139|873
Radeon X1900 CrossFire Edition|153|854
Radeon X1900 GT|140|870
Radeon X1950 CrossFire Edition|151|859
Radeon X1950 GT|113|909
Radeon X1950 Pro|110|916
RADEON X300SE|37|1112
RADEON X550|46|1081
RADEON X550XT|54|1059
Radeon X550XTX|66|1026
RADEON X600 256MB HyperMemory|55|1057
RADEON X600XT|91|975
RADEON X700|72|1012
RADEON X700 PRO|75|1005
RADEON X700 SE|74|1007
RADEON X800 GT|84|992
RADEON X800 GTO|74|1010
RADEON X800 PRO|57|1051
RADEON X800 PRO/GTO|74|1008
RADEON X800 XL|61|1040
RADEON X800 XT|102|939
RADEON X800GT|80|999
RADEON X850 PRO|72|1013
RADEON X850 XT|81|997
RADEON X850 XT Platinum Edition|79|1002
Radeon Xpress 1100|32|1134
Radeon Xpress 1150|28|1146
Radeon Xpress 1200|33|1130
Radeon Xpress 1250|41|1102
Radeon Xpress 1270|26|1153
RADEON XPRESS 200|29|1143
RADEON XPRESS 200M|20|1176
Rage Fury Pro/Xpert 2000 Pro|3|1279
RIVA TNT2 Model 64/Model 64 Pro|3|1269
RV530 PRO|113|910
S3 Chrome 430 ULP|39|1107
S3 ProSavageDDR|1|1306
SAPPHIRE RADEON 9600 ATLANTIS|47|1075
SAPPHIRE Radeon X1550|54|1058
Sapphire RADEON X800 GT|112|912
Sherry 1.3 for GMA 3150|1|1311
Sherry 1.3.2 beta for 945 chipsets|3|1282
SiS 630/730|1|1307
SiS 650_651_M650_M652_740|3|1290
SiS 651|2|1300
SiS 661FX|3|1281
SiS 661FX/GX Mirage|4|1250
SiS 741|4|1244
SiS 760|5|1221
SiS M661MX|4|1247
SiS M760GX|3|1284
SiS Mirage|4|1264
SiS Mirage 3|2|1298
SUMO 9640|650|483
SUMO 964A|497|612
Tesla C2050|3450|76
Tesla C2050 / C2070|3393|80
Tesla C2075|3283|81
Vanta/Vanta LT|3|1276
VIA Chrome9 HC IGP|4|1245
VIA Chrome9 HC IGP Family|4|1249
VIA Chrome9 HC IGP Family WDDM|3|1270
VIA Chrome9 HC IGP WDDM|3|1271
VIA Chrome9 HC IGP WDDM 1.1|3|1273
VIA Chrome9 HD IGP|12|1193
VIA/S3G Chrome 645/640 GPU|106|924
VIA/S3G DeltaChrome IGP|3|1292
VIA/S3G KM400/KN400|3|1283
VIA/S3G UniChrome IGP|4|1252
VIA/S3G UniChrome Pro IGP|4|1258
VIA/S3G UniChromeII|5|1236
Wine Display Adapter|180|837
